algorithm,inputType,n,avgTimeNs,avgMaxDepth,avgOperations,operationMetric
MergeSort,random,1000,65220.00,7.00,10293.00,comparisons
MergeSort,sorted,1000,48500.00,7.00,3956.00,comparisons
MergeSort,reverse,1000,55380.00,7.00,10300.00,comparisons
MergeSort,duplicates,1000,62920.00,7.00,9697.00,comparisons
MergeSort,random,2000,228380.00,8.00,22642.00,comparisons
MergeSort,sorted,2000,180340.00,8.00,8912.00,comparisons
MergeSort,reverse,2000,608720.00,8.00,21600.00,comparisons
MergeSort,duplicates,2000,457360.00,8.00,21481.00,comparisons
MergeSort,random,4000,299160.00,9.00,49238.00,comparisons
MergeSort,sorted,4000,69580.00,9.00,19824.00,comparisons
MergeSort,reverse,4000,142100.00,9.00,45200.00,comparisons
MergeSort,duplicates,4000,106000.00,9.00,46768.00,comparisons
MergeSort,random,8000,405020.00,10.00,106103.00,comparisons
MergeSort,sorted,8000,102900.00,10.00,43648.00,comparisons
MergeSort,reverse,8000,183960.00,10.00,94400.00,comparisons
MergeSort,duplicates,8000,234240.00,10.00,101168.00,comparisons
MergeSort,random,16000,888100.00,11.00,228810.00,comparisons
MergeSort,sorted,16000,225780.00,11.00,95296.00,comparisons
MergeSort,reverse,16000,424820.00,11.00,196800.00,comparisons
MergeSort,duplicates,16000,542500.00,11.00,217869.00,comparisons
MergeSort,random,32000,1960640.00,12.00,490235.00,comparisons
MergeSort,sorted,32000,486360.00,12.00,206592.00,comparisons
MergeSort,reverse,32000,803300.00,12.00,409600.00,comparisons
MergeSort,duplicates,32000,1052320.00,12.00,465543.00,comparisons
QuickSort,random,1000,74160.00,6.40,10819.60,comparisons
QuickSort,sorted,1000,54120.00,6.40,11192.20,comparisons
QuickSort,reverse,1000,56240.00,6.20,10995.40,comparisons
QuickSort,duplicates,1000,232300.00,3.40,52850.40,comparisons
QuickSort,random,2000,109600.00,7.00,23873.20,comparisons
QuickSort,sorted,2000,42380.00,6.80,24960.60,comparisons
QuickSort,reverse,2000,49060.00,6.80,24894.80,comparisons
QuickSort,duplicates,2000,170100.00,3.40,206369.00,comparisons
QuickSort,random,4000,174240.00,7.20,55061.00,comparisons
QuickSort,sorted,4000,86480.00,7.20,54341.20,comparisons
QuickSort,reverse,4000,99160.00,7.60,54443.20,comparisons
QuickSort,duplicates,4000,585100.00,3.40,812747.40,comparisons
QuickSort,random,8000,418460.00,8.00,119885.80,comparisons
QuickSort,sorted,8000,207880.00,8.40,121734.20,comparisons
QuickSort,reverse,8000,230180.00,8.40,123226.00,comparisons
QuickSort,duplicates,8000,3490120.00,3.20,3232435.20,comparisons
QuickSort,random,16000,951800.00,9.00,254181.80,comparisons
QuickSort,sorted,16000,411960.00,9.00,258805.00,comparisons
QuickSort,reverse,16000,478180.00,8.80,264915.00,comparisons
QuickSort,duplicates,16000,13375860.00,3.00,12858871.00,comparisons
QuickSort,random,32000,1903820.00,9.60,565781.40,comparisons
QuickSort,sorted,32000,891660.00,9.60,573290.00,comparisons
QuickSort,reverse,32000,990200.00,9.40,567364.20,comparisons
QuickSort,duplicates,32000,48891140.00,3.20,51305106.40,comparisons
DeterministicSelect,random,1000,77760.00,9.00,8746.00,comparisons
DeterministicSelect,sorted,1000,31980.00,10.00,6994.00,comparisons
DeterministicSelect,reverse,1000,33440.00,10.00,9374.00,comparisons
DeterministicSelect,duplicates,1000,12200.00,5.00,3813.00,comparisons
DeterministicSelect,random,2000,83080.00,11.00,18815.00,comparisons
DeterministicSelect,sorted,2000,199220.00,10.00,14756.00,comparisons
DeterministicSelect,reverse,2000,244680.00,11.00,19774.00,comparisons
DeterministicSelect,duplicates,2000,12400.00,5.00,7706.00,comparisons
DeterministicSelect,random,4000,96320.00,11.00,38406.00,comparisons
DeterministicSelect,sorted,4000,47700.00,11.00,28755.00,comparisons
DeterministicSelect,reverse,4000,61740.00,11.00,39766.00,comparisons
DeterministicSelect,duplicates,4000,43700.00,6.00,14795.00,comparisons
DeterministicSelect,random,8000,207460.00,12.00,77084.00,comparisons
DeterministicSelect,sorted,8000,102780.00,13.00,61430.00,comparisons
DeterministicSelect,reverse,8000,120480.00,12.00,79691.00,comparisons
DeterministicSelect,duplicates,8000,69600.00,6.00,29948.00,comparisons
DeterministicSelect,random,16000,485760.00,13.00,157585.00,comparisons
DeterministicSelect,sorted,16000,211900.00,13.00,118071.00,comparisons
DeterministicSelect,reverse,16000,298500.00,14.00,162058.00,comparisons
DeterministicSelect,duplicates,16000,284480.00,8.00,103849.00,comparisons
DeterministicSelect,random,32000,892080.00,14.00,323191.00,comparisons
DeterministicSelect,sorted,32000,434520.00,15.00,242697.00,comparisons
DeterministicSelect,reverse,32000,567860.00,15.00,321790.00,comparisons
DeterministicSelect,duplicates,32000,645940.00,9.00,226655.00,comparisons
ClosestPair,random-points,1000,1058920.00,10.00,1136.00,distanceCalculations
ClosestPair,random-points,2000,1960620.00,11.00,2264.00,distanceCalculations
ClosestPair,random-points,4000,5567560.00,12.00,4620.00,distanceCalculations
ClosestPair,random-points,8000,13972780.00,13.00,9308.00,distanceCalculations
ClosestPair,random-points,16000,17961060.00,14.00,18905.00,distanceCalculations
ClosestPair,random-points,32000,24121180.00,15.00,37874.00,distanceCalculations
